id,customer_id,product_id,total,status
1,80,16,865.28,completed
2,212,2,183.46,completed
3,211,43,864.74,completed
4,137,11,788.44,completed
5,196,3,859.3,completed
6,103,30,352.91,completed
7,115,2,661.73,pending
8,169,18,865.03,completed
9,180,42,511.86,cancelled
10,170,2,119.77,completed
11,92,38,962.72,completed
12,20,7,598.59,completed
13,161,28,608.18,cancelled
14,60,25,900.01,completed
15,131,3,710.24,completed
16,267,35,688.42,completed
17,187,28,74.62,completed
18,161,43,848.78,completed
19,260,20,668.56,completed
20,207,45,299.18,completed
21,99,27,666.6,pending
22,90,40,571.26,pending
23,281,1,307.36,completed
24,221,38,608.63,completed
25,239,29,444.95,completed
26,262,31,794.77,completed
27,44,19,517.87,cancelled
28,172,6,819.33,completed
29,159,15,807.53,completed
30,13,3,248.62,pending
31,38,30,417.37,cancelled
32,100,46,697.87,pending
33,205,16,151.83,completed
34,55,50,428.02,completed
35,266,30,54.97,completed
36,63,30,137.67,pending
37,272,36,597.48,pending
38,259,28,831.42,cancelled
39,229,11,744.94,pending
40,231,17,753.02,completed
41,267,32,628.61,completed
42,226,5,714.98,completed
43,140,22,323.11,cancelled
44,42,9,155.08,pending
45,79,46,217.88,pending
46,209,22,544.9,pending
47,32,14,833.73,pending
48,300,45,24.43,cancelled
49,195,31,10.87,completed
50,153,49,393.04,pending
51,276,48,735.96,cancelled
52,113,32,223.32,pending
53,249,2,391.91,pending
54,85,30,919.94,cancelled
55,274,2,907.39,cancelled
56,289,43,31.97,pending
57,70,30,185.82,completed
58,195,21,215.6,completed
59,173,49,880.24,completed
60,216,17,835.74,pending
61,10,48,541.72,completed
62,115,42,73.28,completed
63,16,16,203.36,completed
64,79,16,130.59,completed
65,289,14,467.71,completed
66,189,11,607.86,completed
67,84,20,112.56,completed
68,160,37,678.96,pending
69,204,46,202.34,cancelled
70,125,7,698.71,completed
71,62,37,783.72,completed
72,273,28,663.21,completed
73,260,42,344.53,pending
74,251,7,436.36,completed
75,236,46,157.23,completed
76,268,42,273.73,cancelled
77,248,30,438.4,cancelled
78,138,21,852.45,completed
79,143,29,247.64,pending
80,292,40,669.85,completed
81,15,32,851.7,completed
82,250,14,358.05,completed
83,175,18,880.92,completed
84,285,1,519.04,completed
85,44,16,721.47,pending
86,285,49,244.12,pending
87,252,29,793.97,completed
88,151,15,407.38,completed
89,157,43,583.65,pending
90,284,34,347.04,cancelled
91,170,23,704.34,completed
92,157,17,234.39,completed
93,162,8,744.17,completed
94,99,14,739.91,completed
95,269,39,286.58,completed
96,100,19,231.35,completed
97,155,1,709.48,completed
98,141,3,974.42,cancelled
99,150,45,944.37,pending
100,53,1,576.19,pending
101,246,29,344.0,completed
102,130,31,118.52,completed
103,206,32,78.71,completed
104,78,10,812.09,completed
105,44,16,122.86,pending
106,116,50,524.96,pending
107,227,20,860.87,pending
108,157,37,622.92,cancelled
109,51,49,211.75,completed
110,136,43,85.78,completed
111,89,36,79.69,completed
112,210,29,690.92,pending
113,150,3,235.32,completed
114,233,5,688.95,completed
115,102,28,119.2,completed
116,77,18,827.5,completed
117,31,11,793.67,cancelled
118,292,19,441.96,pending
119,156,45,405.5,completed
120,257,35,496.33,completed
121,21,28,735.86,cancelled
122,129,2,95.87,cancelled
123,11,49,673.92,completed
124,296,3,764.29,completed
125,241,34,653.25,completed
126,93,38,438.71,pending
127,47,31,351.22,completed
128,165,43,109.08,completed
129,169,27,695.21,completed
130,206,49,552.35,pending
131,46,21,256.14,completed
