id,name,price,category
1,Product 1,299.29,clothing
2,Product 2,45.58,toys
3,Product 3,293.92,clothing
4,Product 4,161.6,electronics
5,Product 5,106.11,toys
6,Product 6,160.52,electronics
7,Product 7,200.91,toys
8,Product 8,324.52,home
9,Product 9,161.51,books
10,Product 10,468.19,electronics
11,Product 11,231.85,clothing
12,Product 12,498.07,electronics
13,Product 13,271.13,clothing
14,Product 14,136.27,electronics
15,Product 15,441.03,electronics
16,Product 16,187.92,electronics
17,Product 17,221.9,clothing
18,Product 18,353.25,clothing
19,Product 19,492.01,books
20,Product 20,328.72,electronics
21,Product 21,335.59,clothing
22,Product 22,153.19,toys
23,Product 23,56.28,electronics
24,Product 24,135.91,electronics
25,Product 25,372.5,electronics
26,Product 26,139.81,clothing
27,Product 27,109.26,electronics
28,Product 28,105.78,toys
29,Product 29,427.19,clothing
30,Product 30,246.82,books
31,Product 31,30.15,toys
32,Product 32,214.67,electronics
33,Product 33,26.82,electronics
34,Product 34,386.7,toys
35,Product 35,490.0,electronics
36,Product 36,371.91,clothing
37,Product 37,354.31,clothing
38,Product 38,9.79,electronics
39,Product 39,472.8,toys
40,Product 40,452.44,clothing
41,Product 41,22.83,electronics
42,Product 42,293.34,electronics
43,Product 43,217.74,electronics
44,Product 44,157.59,books
45,Product 45,486.24,electronics
46,Product 46,449.97,electronics
47,Product 47,342.62,toys
48,Product 48,55.88,books
49,Product 49,282.14,books
50,Product 50,206.16,clothing
